見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
腹話術,ふくわじゅつ,腹話術,名詞,普通名詞,代表表記:腹話術/ふくわじゅつ ドメイン:文化・芸術 カテゴリ:抽象物,0,0
。,。,。,特殊,句点,NIL,0,0
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,1
六,ろく,六,名詞,数詞,カテゴリ:数量,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,0,1
の,の,の,助詞,接続助詞,NIL,0,1
宮本,みやもと,宮本,名詞,人名,人名:日本:姓:111:0.00186,0,1
ミドリ,ミドリ,ミドリ,名詞,人名,自動獲得:Wikipedia Wikipedia上位語:ポルノ女優 Wikipediaリダイレクト:みどり,0,1
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,0,1
と,と,と,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
五,ご,五,名詞,数詞,カテゴリ:数量,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,0,1
の,の,の,助詞,接続助詞,NIL,0,1
甲野,甲野,甲野,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,1
ルミ,ルミ,ルミ,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia名,0,1
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,0,1
と,と,と,助詞,格助詞,NIL,0,1
が,が,が,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,1
の,の,の,助詞,接続助詞,NIL,0,1
帰り,かえり,帰り,名詞,普通名詞,代表表記:帰り/かえりv 反義:動詞:行く/いく;動詞:来る/くる 自他動詞:他:帰す/かえす 連用形名詞化:帰る/かえる,0,1
に,に,に,助詞,格助詞,NIL,0,1
手,て,手,名詞,普通名詞,代表表記:手/て カテゴリ:動物-部位;抽象物 漢字読み:訓 〜を〜に構成語,0,1
を,を,を,助詞,格助詞,NIL,0,1
ひき,ひき,ひく,動詞,*,代表表記:引く/ひく 反義:動詞:押す/おす;動詞:加える/くわえる;動詞:足す/たす,0,1
あって,あって,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,1
、,、,、,特殊,読点,NIL,0,1
赤坂見附,あかさかみつけ,赤坂見附,名詞,地名,代表表記:赤坂見附/あかさかみつけ 地名:日本:東京都:地区,0,1
の,の,の,助詞,接続助詞,NIL,0,1
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,0,1
の,の,の,助詞,接続助詞,NIL,0,1
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,1
に,に,に,助詞,格助詞,NIL,0,1
は,は,は,助詞,副助詞,NIL,0,1
いって,いって,いう,動詞,*,代表表記:言う/いう 補文ト,0,1
いき,いき,いく,接尾辞,動詞性接尾辞,代表表記:いく/いく,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,2
と,と,と,助詞,格助詞,NIL,0,2
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,0,2
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,2
の,の,の,助詞,接続助詞,NIL,0,2
家,いえ,家,名詞,普通名詞,代表表記:家/いえ ドメイン:家庭・暮らし カテゴリ:組織・団体;場所-施設 漢字読み:訓,0,2
と,と,と,助詞,格助詞,NIL,0,2
の,の,の,助詞,接続助詞,NIL,0,2
まん,まん,まん,名詞,普通名詞,代表表記:満/まん カテゴリ:抽象物 漢字読み:音,0,2
中ほど,なかほど,中ほど,名詞,普通名詞,代表表記:中程/なかほど カテゴリ:抽象物,0,2
に,に,に,助詞,格助詞,NIL,0,2
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
千,せん,千,名詞,数詞,カテゴリ:数量,0,2
平方メートル,へいほうめーとる,平方メートル,接尾辞,名詞性名詞助数辞,代表表記:平方メートル/へいほうめーとる 準内容語,0,2
ぐらい,ぐらい,ぐらい,助詞,副助詞,代表表記:くらい/くらい,0,2
の,の,の,助詞,格助詞,NIL,0,2
