見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
歯車,はぐるま,歯車,名詞,普通名詞,代表表記:歯車/はぐるま カテゴリ:人工物-その他,0,0
の,の,の,助詞,接続助詞,NIL,0,0
音,おと,音,名詞,普通名詞,代表表記:音/おと カテゴリ:抽象物 漢字読み:訓,0,0
。,。,。,特殊,句点,NIL,0,0
冬,とう,冬,名詞,時相名詞,代表表記:冬/とう カテゴリ:時間 漢字読み:音,0,1
の,の,の,助詞,接続助詞,NIL,0,1
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,0,1
、,、,、,特殊,読点,NIL,0,1
月,げつ,月,名詞,時相名詞,代表表記:月/げつ カテゴリ:時間 漢字読み:音,0,1
の,の,の,助詞,格助詞,NIL,0,1
さえた,さえた,さえる,動詞,*,代表表記:冴える/さえる,0,1
晩,ばん,晩,名詞,時相名詞,代表表記:晩/ばん カテゴリ:時間 漢字読み:音,0,1
、,、,、,特殊,読点,NIL,0,1
銀座,ぎんざ,銀座,名詞,地名,代表表記:銀座/ぎんざ 地名:日本:東京都:地区,0,1
通り,どおり,通り,接尾辞,名詞性名詞接尾辞,代表表記:通り/どおり カテゴリ:抽象物 内容語,0,1
に,に,に,助詞,格助詞,NIL,0,1
近い,ちかい,近い,形容詞,*,代表表記:近い/ちかい 反義:形容詞:遠い/とおい,0,1
橋,きょう,橋,名詞,普通名詞,代表表記:橋/きょう ドメイン:交通 カテゴリ:場所-施設 漢字読み:音 地名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
たもと,たもと,たもと,名詞,普通名詞,代表表記:袂/たもと カテゴリ:人工物-その他,0,1
の,の,の,助詞,接続助詞,NIL,0,1
交番,こうばん,交番,名詞,サ変名詞,代表表記:交番/こうばん ドメイン:政治 カテゴリ:場所-施設,0,1
に,に,に,助詞,格助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
ひと,ひと,ひと,名詞,数詞,カテゴリ:数量 連語由来,0,1
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,0,1
の,の,の,助詞,接続助詞,NIL,0,1
警官,けいかん,警官,名詞,普通名詞,代表表記:警官/けいかん ドメイン:政治 カテゴリ:人,0,1
が,が,が,助詞,格助詞,NIL,0,1
夜,よ,夜,名詞,時相名詞,代表表記:夜/よ カテゴリ:時間 漢字読み:訓,0,1
の,の,の,助詞,接続助詞,NIL,0,1
見はり,みはり,見はり,名詞,普通名詞,代表表記:見張り/みはりv 連用形名詞化:見張る/みはる,0,1
に,に,に,助詞,格助詞,NIL,0,1
ついて,ついて,つく,動詞,*,代表表記:付く/つく 自他動詞:他:付ける/つける 補文ト 付属動詞候補（基本）,0,1
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,1
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,1
。,。,。,特殊,句点,NIL,0,1
一,いち,一,名詞,数詞,カテゴリ:数量,0,2
時,じ,時,接尾辞,名詞性名詞助数辞,代表表記:時/じ カテゴリ:時間 準内容語,0,2
を,を,を,助詞,格助詞,NIL,0,2
とっくに,とっくに,とっくに,副詞,*,代表表記:とっくに/とっくに,0,2
すぎた,すぎた,すぎる,動詞,*,代表表記:過ぎる/すぎる 付属動詞候補（基本）,0,2
真,ま,真,接頭辞,名詞接頭辞,代表表記:真/ま 内容語,0,2
夜中,よなか,夜中,名詞,時相名詞,代表表記:夜中/よなか カテゴリ:時間,0,2
です,です,だ,判定詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
ひるま,ひるま,ひるま,名詞,時相名詞,代表表記:昼間/ひるま カテゴリ:時間,0,3
は,は,は,助詞,副助詞,NIL,0,3
電車,でんしゃ,電車,名詞,普通名詞,代表表記:電車/でんしゃ ドメイン:交通 カテゴリ:人工物-乗り物,0,3
