見出し,読み,原型,品詞,品詞細分類,意味情報,章ラベル,章番号,文番号
ある,ある,ある,連体詞,*,代表表記:或る/ある,あやしい人造人間,0,0
夕方,ゆうがた,夕方,名詞,時相名詞,代表表記:夕方/ゆうがた カテゴリ:時間,あやしい人造人間,0,0
、,、,、,特殊,読点,NIL,あやしい人造人間,0,0
千代田,ちよだ,千代田,名詞,地名,代表表記:千代田/ちよだ 地名:日本:群馬県:町,あやしい人造人間,0,0
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,あやしい人造人間,0,0
の,の,の,助詞,格助詞,NIL,あやしい人造人間,0,0
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,あやしい人造人間,0,0
やしき,やしき,やしき,名詞,普通名詞,代表表記:屋敷/やしき ドメイン:家庭・暮らし カテゴリ:場所-施設,あやしい人造人間,0,0
ばかり,ばかり,ばかり,助詞,副助詞,NIL,あやしい人造人間,0,0
の,の,の,助詞,格助詞,NIL,あやしい人造人間,0,0
さびしい,さびしい,さびしい,形容詞,*,代表表記:寂しい/さびしい 反義:形容詞:賑やかだ/にぎやかだ,あやしい人造人間,0,0
町,まち,町,名詞,普通名詞,代表表記:町/まち ドメイン:政治 カテゴリ:組織・団体;場所-その他 漢字読み:訓 住所末尾,あやしい人造人間,0,0
を,を,を,助詞,格助詞,NIL,あやしい人造人間,0,0
、,、,、,特殊,読点,NIL,あやしい人造人間,0,0
ふた,ふた,ふた,名詞,数詞,カテゴリ:数量 連語由来,あやしい人造人間,0,0
り,り,り,接尾辞,名詞性名詞助数辞,代表表記:り/り カテゴリ:人 準内容語 連語由来,あやしい人造人間,0,0
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,0
学生,がくせい,学生,名詞,普通名詞,代表表記:学生/がくせい ドメイン:教育・学習 カテゴリ:人,あやしい人造人間,0,0
服,ふく,服,名詞,普通名詞,代表表記:服/ふく ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:音,あやしい人造人間,0,0
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,0
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,あやしい人造人間,0,0
が,が,が,助詞,格助詞,NIL,あやしい人造人間,0,0
、,、,、,特殊,読点,NIL,あやしい人造人間,0,0
歩いて,あるいて,歩く,動詞,*,代表表記:歩く/あるく,あやしい人造人間,0,0
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,あやしい人造人間,0,0
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,あやしい人造人間,0,0
。,。,。,特殊,句点,NIL,あやしい人造人間,0,0
大きい,おおきい,大きい,形容詞,*,代表表記:大きい/おおきい 反義:形容詞:小さい/ちいさい,あやしい人造人間,0,1
ほう,ほう,ほう,名詞,副詞的名詞,代表表記:方/ほう,あやしい人造人間,0,1
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,1
十四,十四,十四,名詞,数詞,カテゴリ:数量 未知語:数字,あやしい人造人間,0,1
―,―,―,特殊,記号,NIL,あやしい人造人間,0,1
五,ご,五,名詞,数詞,カテゴリ:数量,あやしい人造人間,0,1
歳,さい,歳,接尾辞,名詞性名詞助数辞,代表表記:歳/さい 準内容語,あやしい人造人間,0,1
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,あやしい人造人間,0,1
は,は,は,助詞,副助詞,NIL,あやしい人造人間,0,1
、,、,、,特殊,読点,NIL,あやしい人造人間,0,1
名,めい,名,接頭辞,名詞接頭辞,代表表記:名/めい 内容語,あやしい人造人間,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,あやしい人造人間,0,1
明智,明智,明智,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia多義,あやしい人造人間,0,1
小五郎,小五郎,小五郎,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,あやしい人造人間,0,1
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,あやしい人造人間,0,1
助手,じょしゅ,助手,名詞,普通名詞,代表表記:助手/じょしゅ ドメイン:教育・学習 カテゴリ:人 人名末尾,あやしい人造人間,0,1
と,と,と,助詞,格助詞,NIL,あやしい人造人間,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,あやしい人造人間,0,1
、,、,、,特殊,読点,NIL,あやしい人造人間,0,1
また,また,また,副詞,*,代表表記:又/また,あやしい人造人間,0,1
、,、,、,特殊,読点,NIL,あやしい人造人間,0,1
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,あやしい人造人間,0,1
探偵,たんてい,探偵,名詞,サ変名詞,代表表記:探偵/たんてい カテゴリ:人,あやしい人造人間,0,1
団,だん,団,名詞,普通名詞,代表表記:団/だん カテゴリ:組織・団体 漢字読み:音,あやしい人造人間,0,1
の,の,の,助詞,接続助詞,NIL,あやしい人造人間,0,1
団長,だんちょう,団長,名詞,普通名詞,代表表記:団長/だんちょう カテゴリ:人 人名末尾,あやしい人造人間,0,1
と,と,と,助詞,格助詞,NIL,あやしい人造人間,0,1
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,あやしい人造人間,0,1
、,、,、,特殊,読点,NIL,あやしい人造人間,0,1
