見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,0,0
老人,ろうじん,老人,名詞,普通名詞,代表表記:老人/ろうじん カテゴリ:人,0,0
。,。,。,特殊,句点,NIL,0,0
北見,きたみ,北見,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,1
菊雄,菊雄,菊雄,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia名,0,1
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,1
は,は,は,助詞,副助詞,NIL,0,1
、,、,、,特殊,読点,NIL,0,1
小学校,しょうがっこう,小学校,名詞,普通名詞,代表表記:小学校/しょうがっこう ドメイン:教育・学習 カテゴリ:場所-施設 組織名末尾,0,1
の,の,の,助詞,接続助詞,NIL,0,1
四,よん,四,名詞,数詞,カテゴリ:数量,0,1
年生,ねんせい,年生,接尾辞,名詞性名詞助数辞,代表表記:年生/ねんせい カテゴリ:人 準内容語,0,1
でした,でした,だ,判定詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
お,お,お,接頭辞,名詞接頭辞,代表表記:御/お,0,2
うち,うち,うち,名詞,普通名詞,代表表記:内/うち カテゴリ:場所-機能;抽象物 漢字読み:訓,0,2
は,は,は,助詞,副助詞,NIL,0,2
東京,とうきょう,東京,名詞,地名,代表表記:東京/とうきょう 地名:日本:都,0,2
の,の,の,助詞,接続助詞,NIL,0,2
豊島,としま,豊島,名詞,地名,代表表記:豊島/としま 地名:日本:東京都:区,0,2
区,く,区,接尾辞,名詞性特殊接尾辞,代表表記:区/く カテゴリ:組織・団体;場所-その他 準内容語 住所末尾,0,2
に,に,に,助詞,格助詞,NIL,0,2
ある,ある,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
のです,のです,のだ,助動詞,*,NIL,0,2
が,が,が,助詞,接続助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
近く,ちかく,近く,名詞,普通名詞,代表表記:近く/ちかく カテゴリ:場所-機能;時間 反義:名詞-普通名詞:遠く/とおく 形容詞派生:近い/ちかい,0,2
に,に,に,助詞,格助詞,NIL,0,2
小さい,ちいさい,小さい,形容詞,*,代表表記:小さい/ちいさい 反義:形容詞:大きい/おおきい,0,2
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,2
が,が,が,助詞,格助詞,NIL,0,2
あり,あり,ある,動詞,*,代表表記:有る/ある 反義:形容詞:無い/ない 補文ト,0,2
、,、,、,特殊,読点,NIL,0,2
北見,きたみ,北見,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,2
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
友だち,ともだち,友だち,名詞,普通名詞,代表表記:友達/ともだち ドメイン:家庭・暮らし カテゴリ:人,0,2
と,と,と,助詞,格助詞,NIL,0,2
いっしょに,いっしょに,いっしょだ,形容詞,*,代表表記:一緒だ/いっしょだ,0,2
、,、,、,特殊,読点,NIL,0,2
その,その,その,指示詞,連体詞形態指示詞,NIL,0,2
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,2
で,で,で,助詞,格助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
よく,よく,よく,副詞,*,代表表記:良く/よく,0,2
野球,やきゅう,野球,名詞,普通名詞,代表表記:野球/やきゅう ドメイン:スポーツ カテゴリ:抽象物,0,2
など,など,など,助詞,副助詞,NIL,0,2
して,して,する,動詞,*,代表表記:する/する 自他動詞:自:成る/なる 付属動詞候補（基本）,0,2
遊ぶ,あそぶ,遊ぶ,動詞,*,代表表記:遊ぶ/あそぶ ドメイン:レクリエーション,0,2
のでした,のでした,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
公園,こうえん,公園,名詞,普通名詞,代表表記:公園/こうえん ドメイン:レクリエーション カテゴリ:場所-施設,0,3
に,に,に,助詞,格助詞,NIL,0,3
は,は,は,助詞,副助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
毎日,まいにち,毎日,名詞,時相名詞,代表表記:毎日/まいにち カテゴリ:時間,0,3
の,の,だ,判定詞,*,NIL,0,3
ように,ように,ようだ,助動詞,*,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
みょうな,みょうな,みょうだ,形容詞,*,代表表記:妙だ/みょうだ,0,3
おじい,おじい,おじい,名詞,普通名詞,自動獲得:テキスト 意味分類:人:0.959,0,3
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,3
が,が,が,助詞,格助詞,NIL,0,3
、,、,、,特殊,読点,NIL,0,3
来て,来て,来る,動詞,*,代表表記:来る/くる 反義:動詞:帰る/かえる,0,3
い,い,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,3
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,3
。,。,。,特殊,句点,NIL,0,3
しらが,しらが,しらが,名詞,普通名詞,代表表記:白髪/しらが カテゴリ:動物-部位,0,4
頭,あたま,頭,名詞,普通名詞,代表表記:頭/あたま カテゴリ:動物-部位 漢字読み:訓,0,4
に,に,に,助詞,格助詞,NIL,0,4
ベレー,ベレー,ベレー,名詞,普通名詞,自動獲得:Wikipedia Wikipedia上位語:コミューン/コミューン Wikipediaリダイレクト:ベレー帽,0,4
帽,ぼう,帽,名詞,普通名詞,代表表記:帽/ぼう ドメイン:家庭・暮らし カテゴリ:人工物-衣類 漢字読み:音,0,4
を,を,を,助詞,格助詞,NIL,0,4
かぶり,かぶり,かぶる,動詞,*,代表表記:被る/かぶる 反義:動詞:脱ぐ/ぬぐ 自他動詞:他:被せる/かぶせる,0,4
、,、,、,特殊,読点,NIL,0,4
大きな,おおきな,大きな,連体詞,*,代表表記:大きな/おおきな 反義:連体詞:小さな/ちいさな 形容詞派生:大きい/おおきい,0,4
めがね,めがね,めがね,名詞,普通名詞,代表表記:眼鏡/めがね ドメイン:家庭・暮らし カテゴリ:人工物-その他,0,4
を,を,を,助詞,格助詞,NIL,0,4
かけ,かけ,かける,動詞,*,代表表記:掛ける/かける 自他動詞:自:掛かる/かかる 補文ト 付属動詞候補（基本）,0,4
、,、,、,特殊,読点,NIL,0,4
白い,しろい,白い,形容詞,*,代表表記:白い/しろい 名詞派生:白/しろ,0,4
口,くち,口,名詞,普通名詞,代表表記:口/くち カテゴリ:動物-部位;抽象物;形・模様 漢字読み:訓,0,4
ひげ,ひげ,ひげ,名詞,サ変名詞,代表表記:卑下/ひげ カテゴリ:抽象物,0,4
と,と,と,助詞,格助詞,NIL,0,4
、,、,、,特殊,読点,NIL,0,4
あごひげ,あごひげ,あごひげ,名詞,普通名詞,代表表記:顎鬚/あごひげ 自動獲得:EN_Wiktionary,0,4
を,を,を,助詞,格助詞,NIL,0,4
はやし,はやし,はやす,動詞,*,代表表記:囃す/はやす,0,4
、,、,、,特殊,読点,NIL,0,4
灰色,はいいろ,灰色,名詞,普通名詞,代表表記:灰色/はいいろ カテゴリ:色,0,4
の,の,の,助詞,接続助詞,NIL,0,4
洋服,ようふく,洋服,名詞,普通名詞,代表表記:洋服/ようふく ドメイン:家庭・暮らし カテゴリ:人工物-衣類,0,4
を,を,を,助詞,格助詞,NIL,0,4
着て,きて,着る,動詞,*,代表表記:着る/きる ドメイン:家庭・暮らし 反義:動詞:脱ぐ/ぬぐ,0,4
、,、,、,特殊,読点,NIL,0,4
ベンチ,べんち,ベンチ,名詞,普通名詞,代表表記:ベンチ/べんち ドメイン:スポーツ カテゴリ:人工物-その他,0,4
に,に,に,助詞,格助詞,NIL,0,4
腰かけて,こしかけて,腰かける,動詞,*,代表表記:腰掛ける/こしかける,0,4
いる,いる,いる,接尾辞,動詞性接尾辞,代表表記:いる/いる,0,4
のです,のです,のだ,助動詞,*,NIL,0,4
。,。,。,特殊,句点,NIL,0,4
北見,きたみ,北見,名詞,人名,自動獲得:Wikipedia Wikipedia人名 Wikipedia姓,0,5
君,くん,君,接尾辞,名詞性名詞接尾辞,代表表記:君/くん,0,5
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,0,5
は,は,は,助詞,副助詞,NIL,0,5
、,、,、,特殊,読点,NIL,0,5
いつのまにか,いつのまにか,いつのまにか,副詞,*,代表表記:何時の間にか/いつのまにか,0,5
、,、,、,特殊,読点,NIL,0,5
その,その,その,指示詞,連体詞形態指示詞,NIL,0,5
おじい,おじい,おじい,名詞,普通名詞,自動獲得:テキスト 意味分類:人:0.959,0,5
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,5
と,と,と,助詞,格助詞,NIL,0,5
なかよし,なかよし,なかよし,名詞,普通名詞,代表表記:仲良し/なかよし カテゴリ:抽象物,0,5
に,に,に,助詞,格助詞,NIL,0,5
なり,なり,なる,動詞,*,代表表記:成る/なる 自他動詞:他:成す/なす;他:する/する,0,5
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,0,5
。,。,。,特殊,句点,NIL,0,5
おじい,おじい,おじい,名詞,普通名詞,自動獲得:テキスト 意味分類:人:0.959,0,6
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,0,6
は,は,は,助詞,副助詞,NIL,0,6
、,、,、,特殊,読点,NIL,0,6
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,0,6
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,0,6
に,に,に,助詞,格助詞,NIL,0,6
おもしろい,おもしろい,おもしろい,形容詞,*,代表表記:面白い/おもしろい 反義:形容詞:つまらない/つまらない,0,6
話,はなし,話,名詞,サ変名詞,代表表記:話/はなし カテゴリ:抽象物 動詞派生:話す/はなす 漢字読み:訓,0,6
を,を,を,助詞,格助詞,NIL,0,6
聞か,きか,聞く,動詞,*,代表表記:聞く/きく 自他動詞:自:聞こえる/きこえる 補文ト,0,6
せて,せて,せる,接尾辞,動詞性接尾辞,代表表記:せる/せる,0,6
くれる,くれる,くれる,接尾辞,動詞性接尾辞,代表表記:くれる/くれる,0,6
のです,のです,のだ,助動詞,*,NIL,0,6
。,。,。,特殊,句点,NIL,0,6
