見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
一,いち,一,名詞,数詞,カテゴリ:数量,0,0
。,。,。,特殊,句点,NIL,0,0
多分,たぶん,多分,副詞,*,代表表記:多分/たぶん 修飾（ニ格）,0,1
それ,それ,それ,指示詞,名詞形態指示詞,NIL,0,1
は,は,は,助詞,副助詞,NIL,0,1
一種,いっしゅ,一種,副詞,*,代表表記:一種/いっしゅ,0,1
の,の,の,助詞,接続助詞,NIL,0,1
精神,せいしん,精神,名詞,普通名詞,代表表記:精神/せいしん カテゴリ:抽象物,0,1
病,びょう,病,名詞,普通名詞,代表表記:病/びょう ドメイン:健康・医学 カテゴリ:抽象物 漢字読み:音,0,1
で,で,だ,判定詞,*,NIL,0,1
で,で,だ,判定詞,*,NIL,0,1
も,も,も,助詞,副助詞,NIL,0,1
あった,あった,ある,接尾辞,動詞性接尾辞,代表表記:ある/ある,0,1
のでしょう,のでしょう,のだ,助動詞,*,NIL,0,1
。,。,。,特殊,句点,NIL,0,1
郷田,郷田,郷田,名詞,人名,自動獲得:Wikipedia 読み不明 Wikipedia人名 Wikipedia姓,0,2
三郎,さぶろう,三郎,名詞,人名,人名:日本:名:48:0.00103,0,2
は,は,は,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
どんな,どんな,どんな,指示詞,連体詞形態指示詞,NIL,0,2
遊び,あそび,遊び,名詞,普通名詞,代表表記:遊び/あそびv ドメイン:レクリエーション 連用形名詞化:遊ぶ/あそぶ,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
どんな,どんな,どんな,指示詞,連体詞形態指示詞,NIL,0,2
職業,しょくぎょう,職業,名詞,普通名詞,代表表記:職業/しょくぎょう ドメイン:ビジネス カテゴリ:抽象物,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
何,なに,何,名詞,普通名詞,代表表記:何/なに カテゴリ:抽象物 漢字読み:訓,0,2
を,を,を,助詞,格助詞,NIL,0,2
やって,やって,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,0,2
見て,みて,見る,動詞,*,代表表記:見る/みる 自他動詞:自:見える/みえる 補文ト,0,2
も,も,も,助詞,副助詞,NIL,0,2
、,、,、,特殊,読点,NIL,0,2
一向,一向,一向,名詞,普通名詞,自動獲得:Wikipedia 読み不明 Wikipediaリダイレクト:一向俊聖,0,2
この世,このよ,この世,名詞,普通名詞,代表表記:此世/このよ カテゴリ:場所-その他,0,2
が,が,が,助詞,格助詞,NIL,0,2
面白く,おもしろく,面白い,形容詞,*,代表表記:面白い/おもしろい 反義:形容詞:つまらない/つまらない,0,2
ない,ない,ない,接尾辞,形容詞性述語接尾辞,代表表記:ない/ない,0,2
のでした,のでした,のだ,助動詞,*,NIL,0,2
。,。,。,特殊,句点,NIL,0,2
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,3
を,を,を,助詞,格助詞,NIL,0,3
出て,でて,出る,動詞,*,代表表記:出る/でる 反義:動詞:入る/はいる 自他動詞:他:出す/だす 補文ト,0,3
から,から,から,助詞,接続助詞,NIL,0,3
――,――,――,特殊,記号,NIL,0,3
その,その,その,指示詞,連体詞形態指示詞,NIL,0,3
学校,がっこう,学校,名詞,普通名詞,代表表記:学校/がっこう ドメイン:教育・学習 カテゴリ:場所-施設,0,3
とても,とても,とても,副詞,*,代表表記:とても/とても 用言弱修飾,0,3
一,いち,一,名詞,数詞,カテゴリ:数量,0,3
年,ねん,年,接尾辞,名詞性名詞助数辞,代表表記:年/ねん カテゴリ:時間 準内容語,0,3
に,に,に,助詞,格助詞,NIL,0,3
何,なん,何,名詞,数詞,カテゴリ:数量,0,3
